Comment,Designator,Footprint,LCSC
MP1469,U3,TSOT-23-6,C128217
0.1u,"C1A1,C2,C3",C_0603_1608Metric,C14663
1u,C4,C_0603_1608Metric,C15849
13k,R2,R_0603_1608Metric,C22797
59k,R7,R_0603_1608Metric,C23085
100K,R5,R_0603_1608Metric,C25803
10K,R9,R_0603_1608Metric,C25804
C2681568,SW2,C2681568,C2681568
6.8u,L1,L_CD73,C2826679
4P4C,J1,RJ9_Evercom_5301-440xxx_Horizontal,C3097715
40.2k,R1,R_0603_1608Metric,C423037
22u,"C1,C2A1",C_0805_2012Metric,C45783
CS48520S,U2,SOIC-8_3.9x4.9mm_P1.27mm,C5184817
ESP-WROOM-02D-N4,U1,ESP-WROOM-02,C529584
